n_estimators,max_depth,train_rmse,test_rmse,bias,variance
50,5,0.8422807333794825,1.0562874374195799,0.8422807333794825,0.21400670404009736
50,10,0.20923314148157257,0.5324159210348384,0.20923314148157257,0.3231827795532658
50,None,0.1868178413942097,0.5352608835946215,0.1868178413942097,0.34844304220041183
100,5,0.8375330356293911,1.049794677909638,0.8375330356293911,0.21226164228024702
100,10,0.2095043031979761,0.5286805155492453,0.2095043031979761,0.31917621235126925
100,None,0.18796557064841912,0.5325504844064601,0.18796557064841912,0.344584913758041
